Ticker,AMD,AMD,AMD,AMD,AMD,AMD,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,170.16000366210938,174.39999389648438,166.82000732421875,171.6999969482422,171.6999969482422,75396100,155.0500030517578,158.19000244140625,151.05799865722656,154.27000427246094,154.27000427246094,61287000,306.2099914550781,309.30999755859375,297.82000732421875,302.6300048828125,302.6300048828125,89121400,174.08999633789062,176.5399932861328,170.88999938964844,173.72000122070312,173.4889373779297,204529000,116.3010025024414,117.85099792480469,115.28500366210938,115.86000061035156,115.86000061035156,38910000
2025-08-04,174.61000061035156,177.86000061035156,173.55999755859375,176.77999877929688,176.77999877929688,52951000,158.52999877929688,161.39999389648438,157.92999267578125,160.66000366210938,160.66000366210938,82993600,309.0799865722656,312.1199951171875,303.0,309.260009765625,309.260009765625,78683900,175.16000366210938,180.1999969482422,174.52000427246094,180.0,179.76058959960938,148174600,116.76499938964844,117.69999694824219,116.26200103759766,117.0989990234375,117.0989990234375,22447000
2025-08-05,177.57000732421875,177.99000549316406,171.8000030517578,174.30999755859375,174.30999755859375,88808500,171.80999755859375,176.3300018310547,169.22000122070312,173.27000427246094,173.27000427246094,130917500,308.95001220703125,312.45001220703125,305.5,308.7200012207031,308.7200012207031,57961300,179.6199951171875,180.25999450683594,175.89999389648438,178.25999450683594,178.02288818359375,156407600,117.0999984741211,117.1709976196289,114.47100067138672,114.78700256347656,114.78700256347656,26607000
2025-08-06,165.0500030517578,166.17999267578125,157.8000030517578,163.1199951171875,163.1199951171875,133641800,171.1750030517578,180.58099365234375,171.00999450683594,179.5399932861328,179.5399932861328,82924800,307.8900146484375,320.4700012207031,306.92999267578125,319.9100036621094,319.9100036621094,78523600,176.3300018310547,179.89999389648438,176.25,179.4199981689453,179.1813507080078,137192300,115.35199737548828,118.13800048828125,115.18699645996094,117.8479995727539,117.8479995727539,33622000
2025-08-07,166.83999633789062,175.75,166.6999969482422,172.39999389648438,172.39999389648438,95448300,181.00999450683594,184.47999572753906,178.1699981689453,182.1999969482422,182.1999969482422,77829200,319.7900085449219,322.3999938964844,316.1600036621094,322.2699890136719,322.2699890136719,66658700,181.57000732421875,183.8800048828125,178.8000030517578,180.77000427246094,180.52957153320312,151878400,118.1760025024414,119.12200164794922,116.81999969482422,118.03700256347656,118.03700256347656,26283000
2025-08-08,174.0399932861328,176.47999572753906,170.52000427246094,172.75999450683594,172.75999450683594,68866700,184.73500061035156,187.99000549316406,184.41000366210938,186.9600067138672,186.9600067138672,62657900,321.42999267578125,335.1499938964844,320.9800109863281,329.6499938964844,329.6499938964844,91200300,181.5500030517578,183.3000030517578,180.39999389648438,182.6999969482422,182.45700073242188,123396700,118.31900024414062,121.41100311279297,118.03700256347656,121.16400146484375,121.16400146484375,38167000
2025-08-11,170.0399932861328,178.82000732421875,169.3800048828125,172.27999877929688,172.27999877929688,70651000,186.47000122070312,187.17999267578125,181.9199981689453,182.67999267578125,182.67999267578125,56125600,335.0,346.6400146484375,334.1499938964844,339.0299987792969,339.0299987792969,105320200,182.0500030517578,183.83999633789062,180.25,182.05999755859375,181.8178253173828,138323200,121.4010009765625,122.30699920654297,120.19300079345703,121.83100128173828,121.83100128173828,24556000
2025-08-12,173.32000732421875,175.16000366210938,168.5,174.9499969482422,174.9499969482422,52243500,184.6999969482422,190.0,182.10000610351562,186.97000122070312,186.97000122070312,54819000,345.0,345.260009765625,332.94000244140625,340.8399963378906,340.8399963378906,80522100,182.9600067138672,184.47999572753906,179.4600067138672,183.16000366210938,182.9163818359375,145485700,122.5,123.1989974975586,120.6510009765625,122.52799987792969,122.52799987792969,22788000
