Date,Open,High,Low,Close,Adj Close,Volume
2025-08-01,174.08999633789062,176.5399932861328,170.88999938964844,173.72000122070312,173.4889373779297,204529000
2025-08-04,175.16000366210938,180.1999969482422,174.52000427246094,180.0,179.76058959960938,148174600
2025-08-05,179.6199951171875,180.25999450683594,175.89999389648438,178.25999450683594,178.02288818359375,156407600
2025-08-06,176.3300018310547,179.89999389648438,176.25,179.4199981689453,179.1813507080078,137192300
2025-08-07,181.57000732421875,183.8800048828125,178.8000030517578,180.77000427246094,180.52957153320312,151878400
2025-08-08,181.5500030517578,183.3000030517578,180.39999389648438,182.6999969482422,182.45700073242188,123396700
2025-08-11,182.0500030517578,183.83999633789062,180.25,182.05999755859375,181.8178253173828,138323200
2025-08-12,182.9600067138672,184.47999572753906,179.4600067138672,183.16000366210938,182.9163818359375,145485700
2025-08-13,182.6199951171875,183.97000122070312,179.35000610351562,181.58999633789062,181.3484649658203,179871700
2025-08-14,179.75,183.02000427246094,179.4600067138672,182.02000427246094,181.7778778076172,129554000
2025-08-15,181.8800048828125,181.89999389648438,178.0399932861328,180.4499969482422,180.20997619628906,156602200
2025-08-18,180.60000610351562,182.94000244140625,180.58999633789062,182.00999450683594,181.76788330078125,132008000
2025-08-19,182.42999267578125,182.5,175.49000549316406,175.63999938964844,175.4063720703125,185229200
2025-08-20,175.1699981689453,176.0,168.8000030517578,175.39999389648438,175.16668701171875,215142700
2025-08-21,174.85000610351562,176.89999389648438,173.80999755859375,174.97999572753906,174.7472381591797,140040900
2025-08-22,172.61000061035156,178.58999633789062,171.1999969482422,177.99000549316406,177.75326538085938,172789400
2025-08-25,178.35000610351562,181.91000366210938,176.57000732421875,179.80999755859375,179.57083129882812,163012800
2025-08-26,180.05999755859375,182.38999938964844,178.80999755859375,181.77000427246094,181.52822875976562,168688200
2025-08-27,181.97999572753906,182.49000549316406,179.10000610351562,181.60000610351562,181.35845947265625,235518900
2025-08-28,180.82000732421875,184.47000122070312,176.41000366210938,180.1699981689453,179.93035888671875,281787800
2025-08-29,178.11000061035156,178.14999389648438,173.14999389648438,174.17999267578125,173.94830322265625,243257900
2025-09-02,170.0,172.3800048828125,167.22000122070312,170.77999877929688,170.55284118652344,231164900
2025-09-03,171.05999755859375,172.41000366210938,168.8800048828125,170.6199951171875,170.39306640625,164424900
2025-09-04,170.57000732421875,171.86000061035156,169.41000366210938,171.66000366210938,171.4316864013672,141670100
2025-09-05,168.02999877929688,169.02999877929688,164.07000732421875,167.02000427246094,166.79786682128906,224441400
2025-09-08,167.5500030517578,170.9600067138672,167.35000610351562,168.30999755859375,168.08612060546875,163769100
2025-09-09,169.08999633789062,170.97999572753906,166.74000549316406,170.75999450683594,170.53285217285156,157548400
2025-09-10,176.63999938964844,179.2899932861328,175.47000122070312,177.3300018310547,177.09413146972656,226852000
2025-09-11,179.67999267578125,180.27999877929688,176.47999572753906,177.1699981689453,176.9443359375,151159300
2025-09-12,177.77000427246094,178.60000610351562,176.4499969482422,177.82000732421875,177.59349060058594,124911000
2025-09-15,175.6699981689453,178.85000610351562,174.50999450683594,177.75,177.52359008789062,147061600
2025-09-16,177.0,177.5,174.3800048828125,174.8800048828125,174.65724182128906,140737800
2025-09-17,172.63999938964844,173.1999969482422,168.41000366210938,170.2899932861328,170.0730743408203,211843800
2025-09-18,173.97999572753906,177.10000610351562,172.9600067138672,176.24000549316406,176.01551818847656,191763300
2025-09-19,175.77000427246094,178.0800018310547,175.17999267578125,176.6699981689453,176.4449462890625,237182100
2025-09-22,175.3000030517578,184.5500030517578,174.7100067138672,183.61000061035156,183.37611389160156,269637000
2025-09-23,181.97000122070312,182.4199981689453,176.2100067138672,178.42999267578125,178.2027130126953,192559600
2025-09-24,179.77000427246094,179.77999877929688,175.39999389648438,176.97000122070312,176.74456787109375,143564100
2025-09-25,174.47999572753906,180.25999450683594,173.1300048828125,177.69000244140625,177.4636688232422,191586700
2025-09-26,178.1699981689453,179.77000427246094,174.92999267578125,178.19000244140625,177.96302795410156,148573700
2025-09-29,180.42999267578125,184.0,180.32000732421875,181.85000610351562,181.61837768554688,193063500
2025-09-30,182.0800018310547,187.35000610351562,181.47999572753906,186.5800018310547,186.3423309326172,236981000
2025-10-01,185.24000549316406,188.13999938964844,183.89999389648438,187.24000549316406,187.00149536132812,173844900
2025-10-02,189.60000610351562,191.0500030517578,188.05999755859375,188.88999938964844,188.64939880371094,136805800
2025-10-03,189.19000244140625,190.36000061035156,185.3800048828125,187.6199951171875,187.38101196289062,137596900
2025-10-06,185.5,187.22999572753906,183.3300018310547,185.5399932861328,185.30364990234375,157678100
